data_source,brand,model,series_id
懂车帝,智己,L7,4870
懂车帝,智己,LS7,4869
懂车帝,飞凡,F7,6137
懂车帝,飞凡,R7,4980
懂车帝,奥迪,Q4 e-tron,4334
懂车帝,奥迪,Q5 e-tron,5002
懂车帝,奥迪,e-tron,4543
懂车帝,零跑,C01,5106
懂车帝,零跑,C11,4731
懂车帝,AION,S,3101
懂车帝,AION,Y,4814
懂车帝,AION,V,4426
懂车帝,比亚迪,海豚,5008
懂车帝,比亚迪,海豹,5579
懂车帝,比亚迪,秦 PLUS EV,4899
懂车帝,比亚迪,元 PLUS,5248
懂车帝,比亚迪,宋 PLUS EV,4540
懂车帝,比亚迪,汉 EV,4300
懂车帝,欧拉,好猫,4635
懂车帝,小鹏,P7,3352
懂车帝,小鹏,G6,8895
懂车帝,小鹏,G9,5461
懂车帝,哪吒,X,9312
懂车帝,哪吒,S,5090
懂车帝,大众,ID.3,5217
懂车帝,大众,ID.4 X,4258
懂车帝,大众,ID4.CROZZ,4586
懂车帝,名爵,MG4 EV,5828
懂车帝,别克,微蓝6,3359
懂车帝,别克,E5,6271
懂车帝,五菱,宝骏云朵,9029
懂车帝,红旗,E-QM5,5092
懂车帝,深蓝,SL03,5306
懂车帝,长安启源,A07,8958
懂车帝,极氪,X,6253
懂车帝,极狐,阿尔法S,4637
懂车帝,SMART,精灵1,5322
懂车帝,蔚来,ET5T,9126
懂车帝,蔚来,ET5,5409
懂车帝,蔚来,ES6,2843
懂车帝,蔚来,EC6,4357
懂车帝,阿维塔,11,5308
懂车帝,问界,M5,5343
懂车帝,宝马,i3,4838
懂车帝,宝马,iX3,4538
懂车帝,腾势,N7,6360
汽车之家,智己,L7,6012
汽车之家,智己,LS7,6013
汽车之家,飞凡,F7,6925
汽车之家,飞凡,R7,6072
汽车之家,奥迪,Q4 e-tron,6504
汽车之家,奥迪,Q5 e-tron,6336
汽车之家,奥迪,e-tron,5765
汽车之家,零跑,C01,6161
汽车之家,零跑,C11,5205
汽车之家,AION,S,5026
汽车之家,AION,Y,5976
汽车之家,AION,V,5622
汽车之家,比亚迪,海豚,6139
汽车之家,比亚迪,海豹,6394
汽车之家,比亚迪,秦 PLUS EV,5964
汽车之家,比亚迪,元 PLUS,6298
汽车之家,比亚迪,宋 PLUS EV,6298
汽车之家,比亚迪,汉 EV,5499
汽车之家,欧拉,好猫,5823
汽车之家,小鹏,P7,5213
汽车之家,小鹏,G6,7162
汽车之家,小鹏,G9,6492
汽车之家,哪吒,X,7389
汽车之家,哪吒,S,5830
汽车之家,大众,ID.3,6265
汽车之家,大众,ID.4 X,5511
汽车之家,大众,ID4.CROZZ,5785
汽车之家,名爵,MG4 EV,6651
汽车之家,别克,微蓝6,4776
汽车之家,别克,E5,7043
汽车之家,五菱,宝骏云朵,7271
汽车之家,红旗,E-QM5,6002
汽车之家,深蓝,SL03,6353
汽车之家,长安启源,A07,7209
汽车之家,极氪,X,7028
汽车之家,极狐,阿尔法S,5824
汽车之家,SMART,精灵1,6369
汽车之家,蔚来,ET5T,7306
汽车之家,蔚来,ET5,6453
汽车之家,蔚来,ES6,4881
汽车之家,蔚来,EC6,5569
汽车之家,阿维塔,11,6354
汽车之家,问界,M5,6388
汽车之家,宝马,i3,6544
汽车之家,宝马,iX3,5758
汽车之家,腾势,N7,6898